job_id,title,company,salary,location,posted_date,link
20282388,Senior DevOps Engineer,Perficient,Sueldo no mostrado por la empresa,Remoto/No especificado,Hace 3 días,https://www.occ.com.mx/empleo/oferta/20282388/
20275720,AZURE,EAS CONSULTING SC,Sueldo no mostrado por la empresa,"Santa Fe Cuajimalpa,, Cuajimalpa de Morelos,, CDMX",Hace 1 día,https://www.occ.com.mx/empleo/oferta/20275720/
20281736,DevOps Engineer,"Stefanini México, S.A....",Sueldo no mostrado por la empresa,CDMX,Hace 3 días,https://www.occ.com.mx/empleo/oferta/20281736/
20280908,Ingeniero DevOps,AMA RIS CONSULTING,Sueldo no mostrado por la empresa,Remoto/No especificado,Hace 3 días,https://www.occ.com.mx/empleo/oferta/20280908/
20280572,Ingeniero en automatización,Softtek,Sueldo no mostrado por la empresa,Remoto/No especificado,Hace 3 días,https://www.occ.com.mx/empleo/oferta/20280572/
20280287,Especialista en Desarrollo de Microservicios (RED HAT),Empresa confidencial,"$60,000 - $65,000 Mensual",CDMX,Hace 1 día,https://www.occ.com.mx/empleo/oferta/20280287/
20280346,"Senior Automation Engineer – Backend & E2E (Pytest, BDD,",Royal Holiday,Sueldo no mostrado por la empresa,"Álvaro Obregón,, CDMX",Hace 3 días,https://www.occ.com.mx/empleo/oferta/20280346/
20281859,Automation Tester,"Stefanini México, S.A....",Sueldo no mostrado por la empresa,Remoto/No especificado,Hace 3 días,https://www.occ.com.mx/empleo/oferta/20281859/
20255786,Especialista en Aplicaciones con IA-NUBE,SC Empresarial,Sueldo no mostrado por la empresa,CDMX,Hace 2 días,https://www.occ.com.mx/empleo/oferta/20255786/
20233953,Automation System,Consiss,Sueldo no mostrado por la empresa,"Guadalupe,, N.L.",Hace 1 sem,https://www.occ.com.mx/empleo/oferta/20233953/
20238994,Ingeniero de servicios a estaciones de automatización,Vectralis S.A. de C.V.,Sueldo no mostrado por la empresa,"Puebla,, Pue.",Hace 1 sem,https://www.occ.com.mx/empleo/oferta/20238994/
20239070,Consultor Sr en Automatización Inteligente Celonis,Adecco,"$50,000 - $55,000 Mensual",CDMX,Hace 1 sem,https://www.occ.com.mx/empleo/oferta/20239070/
20272421,Ingeniero en la nube Azure,DXC Technology,"$44,200 Mensual",Remoto/No especificado,Hace 3 días,https://www.occ.com.mx/empleo/oferta/20272421/
20272228,Ingeniero en la Nube AWS,DXC Technology,"$44,200 Mensual",Remoto/No especificado,Hace 3 días,https://www.occ.com.mx/empleo/oferta/20272228/
20252639,Ingeniero DevOps,XIDERAL,Sueldo no mostrado por la empresa,CDMX,Hace 3 días,https://www.occ.com.mx/empleo/oferta/20252639/
20269385,DevOps/Platform Engineer,Empresa confidencial,"$50,000 - $60,000 Mensual","Monterrey,, N.L.",Hace 4 días,https://www.occ.com.mx/empleo/oferta/20269385/
20263355,Ing Infraestructura GCP,MOBIIK,"$55,000 - $60,000 Mensual",Remoto/No especificado,Hace 7 días,https://www.occ.com.mx/empleo/oferta/20263355/
20256691,Data Engineer AWS,Neoris(CEMTEC),Sueldo no mostrado por la empresa,Remoto/No especificado,Hace 1 sem,https://www.occ.com.mx/empleo/oferta/20256691/
20254883,Google Cloud DevOps,HK CONSULTING,"$65,000 - $80,000 Mensual",Remoto/No especificado,Hace 1 sem,https://www.occ.com.mx/empleo/oferta/20254883/
20251031,DevOps Engineer,Monterrey IT Cluster,"$55,000 - $65,000 Mensual",Remoto/No especificado,Hace 1 sem,https://www.occ.com.mx/empleo/oferta/20251031/
20238797,Arquitecto Cloud Azure,"AZKA IT CONSULTING, SA...",Sueldo no mostrado por la empresa,CDMX,Hace 1 sem,https://www.occ.com.mx/empleo/oferta/20238797/
20226332,DevOps Engineer,Apex Systems,"$65,000 - $75,000 Mensual","Guadalajara,, Jal.",Hace 2 sem,https://www.occ.com.mx/empleo/oferta/20226332/
20227215,Especialista en GitLab,Empresa confidencial,Sueldo no mostrado por la empresa,"Monterrey,, N.L.",Hace 2 sem,https://www.occ.com.mx/empleo/oferta/20227215/
20239067,Devops,VENTUS TECHNOLOGY,Sueldo no mostrado por la empresa,Remoto/No especificado,Hace 2 sem,https://www.occ.com.mx/empleo/oferta/20239067/
20278703,Linux Cloud Support Engineer- L2,CMS,"$44,000 Mensual","Monterrey,, N.L.",Hace 1 día,https://www.occ.com.mx/empleo/oferta/20278703/
20259316,Arquitectos de Aplicaciones Cloud Nativas Bilingüe,Corus Systems & Consul...,"$90,000 - $120,000 Mensual","Santa Fe Cuajimalpa,, Cuajimalpa de Morelos,, CDMX",Hace 1 día,https://www.occ.com.mx/empleo/oferta/20259316/
20274210,Cloud FinOps Lead Consultant (REMOTE),NTT DATA SERVICES MEXI...,Sueldo no mostrado por la empresa,Remoto/No especificado,Hace 2 días,https://www.occ.com.mx/empleo/oferta/20274210/
20273685,Consultants with expertise in Oracle EPM Cloud,EY GDS CS MEXICO SC,"$50,000 - $60,000 Mensual",Remoto/No especificado,Hace 2 días,https://www.occ.com.mx/empleo/oferta/20273685/
20273636,Oracle Integration Cloud Technical Consultant,EY GDS CS MEXICO SC,"$50,000 - $60,000 Mensual",Remoto/No especificado,Hace 2 días,https://www.occ.com.mx/empleo/oferta/20273636/
20253950,Middle Site Reliability Engineer,Monterrey IT Cluster,"$50,000 - $65,000 Mensual",CDMX,Hace 3 días,https://www.occ.com.mx/empleo/oferta/20253950/
20256642,Consultor AWS,INGENIOSI FACILITADORA,Sueldo no mostrado por la empresa,"Miguel Hidalgo,, CDMX",Hace 5 días,https://www.occ.com.mx/empleo/oferta/20256642/
20250215,Cloud Architect AWS,Softtek,Sueldo no mostrado por la empresa,"Monterrey,, N.L.",Hace 7 días,https://www.occ.com.mx/empleo/oferta/20250215/
20254250,Consultor SAP FI Soporte (S/4HANA Cloud),AIT VANGUARDIA TECNOLÓ...,"$37,000 - $39,000 Mensual",Remoto/No especificado,Hace 1 sem,https://www.occ.com.mx/empleo/oferta/20254250/
20227853,Administrador de Kubernetes,T-SYSTEMS MEXICO,Sueldo no mostrado por la empresa,CDMX,Hace 2 sem,https://www.occ.com.mx/empleo/oferta/20227853/
20257694,Infrastructure Architect,"AZKA IT CONSULTING, SA...","$75,000 - $85,000 Mensual",CDMX,Hace 1 día,https://www.occ.com.mx/empleo/oferta/20257694/
